voter_id,precinct,party,age,gender,ethnicity,mail_ballot_status,vote_history_2016,vote_history_2018,vote_history_2020,vote_history_2022,vote_history_2024
CA10000198,0200121,N,47,F,W,N,N,N,N,Y,N
CA10000199,0720023,R,63,F,W,Y,Y,Y,Y,Y,Y
CA10000200,0710052,R,66,F,H,Y,N,Y,Y,N,N
CA10000201,0200130,D,41,M,W,N,Y,Y,N,N,N
CA10000202,0100134,N,70,M,W,Y,N,N,N,N,N
CA10000203,0720011,N,81,M,W,Y,Y,Y,Y,N,Y
CA10000204,0725001,R,76,M,W,N,N,N,N,N,N
CA10000205,0725003,D,35,M,H,Y,Y,Y,Y,Y,N
CA10000206,0720028,D,49,M,W,N,N,N,N,N,N
CA10000207,0100250,D,77,F,W,Y,N,Y,N,N,N
CA10000208,0720011,R,50,F,H,N,Y,N,N,N,N
CA10000209,0725006,N,22,F,W,Y,N,N,Y,N,N
CA10000210,0725003,D,23,F,H,Y,N,Y,N,Y,Y
CA10000211,0725009,D,46,M,W,Y,N,N,N,Y,Y
CA10000212,0200117,D,36,M,W,Y,N,N,Y,N,N
CA10000213,0100267,D,32,M,W,Y,Y,N,Y,Y,Y
CA10000214,0720019,N,47,F,H,Y,Y,Y,Y,N,Y
CA10000215,0100134,D,45,M,H,Y,Y,Y,N,N,N
CA10000216,0710051,D,80,F,H,N,N,N,Y,N,N
CA10000217,0725007,D,56,F,W,Y,Y,Y,Y,Y,Y
CA10000218,0720030,R,67,M,W,Y,N,N,Y,Y,Y
CA10000219,0725015,N,24,F,B,Y,Y,Y,N,N,Y
CA10000220,0725007,D,74,F,W,Y,Y,Y,Y,Y,Y
CA10000221,0725009,D,81,F,W,Y,Y,Y,Y,Y,Y
CA10000222,0720026,R,72,M,H,Y,N,N,N,N,N
CA10000223,0200122,D,48,M,H,N,N,N,Y,N,N
CA10000224,0725013,D,62,F,W,N,N,Y,Y,N,Y
CA10000225,0725014,D,35,U,H,Y,N,N,Y,N,N
CA10000226,0725015,R,68,F,W,Y,Y,Y,Y,N,Y
CA10000227,0710052,D,65,F,W,Y,N,N,Y,N,N
CA10000228,0725016,D,68,M,W,Y,Y,Y,Y,Y,Y
CA10000229,0720013,D,24,M,H,Y,Y,N,N,N,N
CA10000230,0725006,R,56,M,B,Y,Y,Y,Y,N,Y
CA10000231,0720011,D,47,M,W,Y,Y,Y,Y,Y,Y
CA10000232,0720013,D,33,U,W,N,Y,Y,Y,Y,Y
CA10000233,0200130,N,35,F,H,Y,Y,Y,Y,Y,Y
CA10000234,0720018,D,74,F,W,Y,Y,Y,Y,N,Y
CA10000235,0710052,D,28,M,H,Y,N,N,Y,N,N
CA10000236,0720030,D,42,F,W,Y,N,N,Y,Y,Y
CA10000237,0720025,D,64,F,W,N,N,N,N,N,N
CA10000238,0100250,D,26,M,W,Y,N,N,N,N,N
CA10000239,0720017,D,37,M,W,N,Y,N,N,Y,N
CA10000240,0725005,D,26,M,W,Y,N,N,N,Y,N
CA10000241,0725004,D,40,M,H,Y,N,N,N,N,N
CA10000242,0200130,D,52,F,W,Y,N,N,N,N,N
CA10000243,0720023,N,83,M,W,Y,Y,Y,Y,N,N
CA10000244,0720024,D,23,F,W,N,Y,N,Y,N,Y
CA10000245,0725007,D,71,M,W,Y,N,N,N,Y,N
CA10000246,0710049,D,84,U,B,Y,Y,Y,Y,Y,Y
CA10000247,0250047,N,56,F,W,N,N,N,N,N,N
CA10000248,0200136,D,70,M,W,Y,N,Y,Y,N,Y
CA10000249,0720011,D,44,F,W,N,Y,N,N,Y,N
CA10000250,0720025,N,65,F,H,Y,N,N,Y,N,Y
CA10000251,0200130,R,55,M,W,Y,N,N,N,N,Y
CA10000252,0725011,D,31,M,W,Y,Y,N,N,Y,Y
CA10000253,0200122,D,38,F,W,N,N,N,N,Y,N
CA10000254,0720017,D,24,F,W,Y,Y,N,N,N,N
CA10000255,0725013,D,35,M,W,Y,N,N,N,N,N
CA10000256,0720029,N,27,M,W,Y,N,Y,N,N,N
CA10000257,0720021,D,39,F,W,Y,N,N,N,N,N
CA10000258,0720020,R,22,F,H,Y,Y,N,Y,Y,Y
CA10000259,0725003,D,85,M,O,Y,Y,Y,N,Y,N
CA10000260,0720028,D,59,M,W,Y,Y,N,N,Y,N
CA10000261,0725011,D,47,U,W,Y,Y,N,N,Y,N
CA10000262,0725016,D,67,M,H,Y,N,N,N,N,N
CA10000263,0725006,N,36,F,W,Y,N,N,N,N,Y
CA10000264,0710049,D,85,F,W,Y,N,Y,Y,N,N
CA10000265,0200136,D,36,F,H,Y,N,N,N,N,Y
CA10000266,0200130,R,73,F,B,Y,Y,N,N,N,N
CA10000267,0720029,D,40,M,H,N,Y,Y,Y,Y,N
CA10000268,0720028,D,41,F,B,Y,N,N,N,Y,N
CA10000269,0720012,R,29,F,H,N,N,Y,N,N,N
CA10000270,0725008,D,24,M,H,Y,N,N,N,N,Y
CA10000271,0720028,D,46,M,W,Y,N,N,N,Y,N
CA10000272,0725008,D,29,M,O,Y,N,N,N,N,N
CA10000273,0720013,R,42,M,W,Y,N,N,N,Y,N
CA10000274,0720023,R,24,M,W,Y,Y,Y,Y,Y,Y
CA10000275,0200117,N,32,M,W,Y,N,Y,N,Y,N
CA10000276,0720020,D,51,M,W,N,N,N,N,Y,N
CA10000277,0720018,D,47,F,H,Y,N,N,N,N,N
CA10000278,0200117,N,22,F,A,N,N,N,Y,N,N
CA10000279,0250052,D,42,M,W,N,N,N,N,N,N
CA10000280,0725013,D,29,M,W,Y,Y,Y,N,N,N
CA10000281,0720018,D,71,M,W,N,N,Y,Y,N,N
CA10000282,0720014,N,51,M,W,Y,Y,Y,Y,N,N
CA10000283,0720013,D,48,M,W,N,Y,Y,Y,Y,Y
CA10000284,0725005,D,47,M,O,Y,N,Y,Y,N,Y
CA10000285,0725014,N,80,F,A,N,N,N,N,N,Y
CA10000286,0720028,D,40,M,H,N,N,N,N,N,N
CA10000287,0720024,N,33,F,W,N,Y,N,Y,N,Y
CA10000288,0710051,D,29,M,W,Y,Y,N,N,Y,Y
CA10000289,0720018,D,20,F,B,Y,Y,Y,Y,N,Y
CA10000290,0720011,D,53,M,W,Y,Y,Y,N,N,Y
CA10000291,0720024,D,65,F,W,Y,Y,Y,Y,Y,Y
CA10000292,0725003,D,56,M,W,Y,Y,N,Y,Y,Y
CA10000293,0100250,D,81,U,W,Y,Y,Y,N,N,Y
CA10000294,0710049,D,78,F,H,Y,N,N,N,Y,Y
CA10000295,0710051,D,41,F,A,Y,Y,Y,N,Y,N
CA10000296,0720029,N,77,F,W,N,N,N,Y,N,N
CA10000297,0720016,D,56,M,A,Y,N,Y,N,N,N
CA10000298,0725007,R,28,F,H,N,Y,Y,Y,Y,Y
CA10000299,0720023,D,29,M,W,N,Y,Y,Y,N,N
CA10000300,0720012,D,85,M,H,Y,Y,N,Y,Y,Y
CA10000301,0200142,D,23,M,W,N,N,N,N,N,N
CA10000302,0720014,D,42,M,A,Y,Y,N,N,N,Y
CA10000303,0200122,N,22,M,H,Y,N,N,Y,Y,N
CA10000304,0200122,N,74,M,W,Y,Y,N,N,Y,N
CA10000305,0710052,D,35,M,A,N,N,Y,N,Y,N
CA10000306,0725015,D,43,M,W,Y,Y,N,Y,Y,Y
CA10000307,0200117,D,81,M,W,Y,N,Y,Y,Y,N
CA10000308,0720021,D,30,F,A,N,N,N,N,Y,N
CA10000309,0100134,D,35,F,W,Y,Y,N,N,Y,N
CA10000310,0720017,N,76,M,W,Y,N,N,N,Y,N
CA10000311,0725016,R,31,M,W,Y,N,N,N,N,Y
CA10000312,0725015,D,34,F,W,Y,N,Y,N,Y,N
CA10000313,0725009,D,46,U,H,Y,N,N,Y,N,Y
CA10000314,0725005,D,67,M,H,Y,N,Y,N,N,N
CA10000315,0200142,D,80,M,W,Y,Y,Y,Y,Y,Y
CA10000316,0720028,N,29,F,W,Y,Y,Y,Y,Y,Y
CA10000317,0200117,D,56,F,W,Y,Y,Y,N,N,N
CA10000318,0725011,D,78,F,W,N,Y,N,Y,Y,N
CA10000319,0720027,D,65,F,W,Y,Y,Y,Y,Y,Y
CA10000320,0725016,N,45,F,H,N,Y,N,N,N,N
CA10000321,0720020,N,82,M,W,N,Y,N,N,Y,N
CA10000322,0200147,D,40,F,W,N,N,N,N,Y,N
CA10000323,0725010,R,53,M,W,N,Y,Y,Y,N,Y
CA10000324,0720027,D,58,F,B,N,Y,N,Y,Y,N
CA10000325,0725003,R,82,F,H,Y,N,N,N,N,N
CA10000326,0725015,D,54,F,W,N,Y,Y,Y,Y,Y
CA10000327,0710053,D,50,M,W,Y,N,N,N,N,N
CA10000328,0720027,D,46,F,W,Y,Y,Y,Y,Y,N
CA10000329,0725012,D,58,U,W,Y,N,N,N,N,N
CA10000330,0725007,D,65,F,W,Y,N,N,Y,Y,N
CA10000331,0200147,D,83,M,W,N,Y,Y,Y,Y,Y
CA10000332,0100267,R,59,F,H,Y,N,Y,N,N,Y
CA10000333,0720025,R,41,F,H,Y,Y,Y,Y,N,Y
CA10000334,0710053,R,85,F,W,N,N,Y,N,N,N
CA10000335,0710050,D,59,M,H,Y,Y,Y,Y,Y,Y
CA10000336,0720024,N,80,M,A,Y,Y,N,Y,N,Y
CA10000337,0200048,R,45,F,W,N,Y,Y,N,Y,Y
CA10000338,0725009,D,37,M,H,N,Y,Y,Y,Y,Y
CA10000339,0720018,N,75,F,W,Y,Y,Y,Y,Y,Y
CA10000340,0725006,D,27,M,W,N,Y,Y,Y,N,Y
CA10000341,0100250,N,38,F,W,N,N,N,N,Y,N
CA10000342,0725012,D,65,U,W,Y,Y,Y,N,N,N
CA10000343,0250052,D,62,M,A,Y,Y,N,N,N,Y
CA10000344,0720028,D,24,F,B,Y,N,N,N,Y,Y
CA10000345,0720023,N,63,M,H,Y,Y,N,Y,Y,Y
CA10000346,0720029,R,64,F,B,Y,Y,Y,Y,Y,Y
CA10000347,0725005,D,60,F,W,N,Y,N,Y,N,N
CA10000348,0200130,D,43,M,A,Y,Y,Y,Y,Y,Y
CA10000349,0720029,R,22,F,W,Y,N,N,N,N,N
CA10000350,0710053,R,77,F,W,N,Y,Y,N,N,N
CA10000351,0200130,N,38,M,B,Y,N,N,Y,Y,Y
CA10000352,0200048,N,65,M,H,Y,N,Y,N,N,Y
CA10000353,0200121,D,84,F,W,N,N,N,N,N,N
CA10000354,0200048,D,50,M,A,Y,Y,N,Y,Y,N
CA10000355,0200130,N,39,M,W,Y,Y,Y,Y,Y,Y
CA10000356,0720013,D,32,F,W,Y,Y,Y,Y,Y,Y
CA10000357,0725002,D,23,F,W,N,N,Y,Y,N,Y
CA10000358,0725008,D,54,F,W,Y,Y,Y,Y,Y,Y
CA10000359,0725011,R,83,M,H,Y,Y,N,Y,Y,Y
CA10000360,0720024,D,71,F,H,Y,N,Y,N,Y,Y
CA10000361,0725004,R,18,F,H,N,N,Y,Y,N,Y
CA10000362,0725012,D,66,M,H,N,N,N,N,N,N
CA10000363,0200117,N,70,M,W,N,Y,N,N,N,N
CA10000364,0720018,N,31,M,H,N,N,Y,Y,Y,Y
CA10000365,0720018,D,79,M,W,N,N,N,N,Y,Y
CA10000366,0200122,D,47,M,H,Y,Y,Y,Y,Y,Y
CA10000367,0200142,N,18,F,H,Y,N,Y,Y,Y,N
CA10000368,0720017,D,84,M,B,N,Y,Y,Y,Y,N
CA10000369,0720025,N,42,M,W,Y,Y,Y,Y,Y,Y
CA10000370,0710052,D,69,M,W,N,N,N,Y,Y,Y
CA10000371,0720029,N,62,U,W,Y,Y,N,N,Y,Y
CA10000372,0200048,D,55,M,W,Y,Y,N,N,Y,Y
CA10000373,0720022,D,49,F,B,Y,Y,N,Y,Y,Y
CA10000374,0710049,D,47,F,W,Y,N,N,Y,Y,Y
CA10000375,0720013,D,40,F,W,Y,N,N,N,N,N
CA10000376,0725009,R,51,M,W,Y,Y,Y,Y,N,Y
CA10000377,0725001,D,23,F,W,N,N,N,N,Y,Y
CA10000378,0720024,N,68,M,W,Y,Y,Y,Y,Y,Y
CA10000379,0200147,N,33,F,W,Y,Y,Y,N,Y,N
CA10000380,0720027,N,48,M,B,Y,Y,Y,Y,N,Y
CA10000381,0720020,R,34,U,H,N,N,N,N,N,N
CA10000382,0725009,R,78,F,W,Y,N,N,N,N,N
CA10000383,0720027,D,24,M,H,Y,Y,Y,Y,Y,Y
CA10000384,0720027,D,50,M,W,N,N,N,N,N,N
CA10000385,0710053,N,59,F,W,Y,N,N,N,N,Y
CA10000386,0725013,N,71,F,W,Y,Y,N,N,N,N
CA10000387,0725003,N,52,F,H,Y,N,N,N,N,N
CA10000388,0710050,D,50,F,H,Y,Y,Y,Y,N,Y
CA10000389,0720017,D,28,M,H,Y,N,Y,Y,Y,Y
CA10000390,0720025,D,39,M,H,Y,N,N,N,N,N
CA10000391,0725006,D,40,F,W,Y,N,N,N,N,N
CA10000392,0710049,D,29,M,W,Y,Y,Y,Y,Y,Y
CA10000393,0100134,D,80,F,W,Y,Y,Y,Y,Y,Y
CA10000394,0720027,N,68,M,H,N,N,Y,Y,N,N
CA10000395,0725001,D,52,M,H,Y,N,N,N,N,N
CA10000396,0710052,D,80,M,W,Y,Y,Y,Y,Y,Y
CA10000397,0710049,D,37,M,W,Y,N,Y,Y,N,Y
CA10000398,0725010,R,25,M,W,N,Y,N,Y,Y,Y
CA10000399,0725007,R,67,F,W,Y,Y,N,N,N,N
CA10000400,0725005,N,59,M,H,Y,N,Y,N,N,N
CA10000401,0725004,R,32,M,W,Y,Y,Y,Y,Y,N
CA10000402,0725006,N,37,M,W,Y,Y,Y,N,N,Y
CA10000403,0725003,R,31,M,W,Y,N,N,N,N,N
CA10000404,0720014,D,35,M,W,Y,N,N,N,N,N
CA10000405,0720021,N,38,M,W,Y,Y,Y,Y,Y,Y
CA10000406,0100250,D,64,F,W,Y,N,N,N,N,N
CA10000407,0725001,N,59,M,W,Y,Y,Y,N,Y,Y
CA10000408,0250047,D,22,F,H,Y,N,N,Y,Y,N
CA10000409,0250052,D,80,F,H,N,N,Y,N,N,N
CA10000410,0200029,D,52,F,H,Y,Y,N,N,Y,N
CA10000411,0250047,D,49,F,B,Y,N,N,N,N,N
CA10000412,0720019,D,39,F,W,Y,N,N,N,N,N
CA10000413,0720012,D,65,M,H,Y,N,N,N,N,N
CA10000414,0720015,N,75,U,W,N,Y,Y,Y,N,Y
CA10000415,0250052,D,58,M,H,Y,Y,N,N,N,Y
CA10000416,0720014,R,35,M,A,Y,Y,Y,Y,Y,Y
