"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"0100085","150303","2021","13","93","13.978494623","13","100"
"0100085","150303","2022","6","93","6.451612903","6","100"
"0100085","150502","1023","10","93","10.752688172","244","4.098360655"
"0100121","152205","1000","4","45","8.888888888","138","2.898550724"
"0100121","152205","1003","3","45","6.666666666","123","2.43902439"
"0100121","152205","1004","2","45","4.444444444","3","66.666666666"
"0100121","152205","2000","5","45","11.111111111","34","14.705882352"
"0100121","152205","2001","1","45","2.222222222","1","100"
"0100121","152205","2002","1","45","2.222222222","1","100"
"0100121","152205","2003","24","45","53.333333333","41","58.536585365"
"0100121","152205","2004","5","45","11.111111111","179","2.793296089"
"0100164","151601","2005","14","14","100","17","82.352941176"
"0100166","150502","2017","3","3","100","3","100"
"0100172","152601","2032","11","11","100","14","78.571428571"
"0100173","152602","1061","21","21","100","38","55.263157894"
"0100177","152601","1026","17","17","100","20","85"
"0100180","150501","2010","6","6","100","18","33.333333333"
"0100191","150306","3004","7","7","100","470","1.489361702"
"0100206","152601","1025","46","61","75.409836065","131","35.114503816"
"0100206","152601","1027","13","61","21.311475409","65","20"
"0100206","152601","1031","2","61","3.278688524","5","40"
"0100211","150303","2000","7","7","100","210","3.333333333"
"0100215","152401","3006","36","59","61.016949152","37","97.297297297"
"0100215","152401","3024","23","59","38.983050847","23","100"
"0100217","152601","2018","6","60","10","169","3.550295857"
"0100217","152601","2029","2","60","3.333333333","44","4.545454545"
"0100217","152601","2030","52","60","86.666666666","59","88.13559322"
"0100224","150306","3015","10","10","100","22","45.454545454"
"0100236","151602","3001","23","37","62.162162162","141","16.312056737"
"0100236","151602","3005","14","37","37.837837837","19","73.684210526"
"0100237","151602","3015","3","3","100","6","50"
"0100250","150612","3016","14","14","100","14","100"
"0100252","150303","1000","2","3","66.666666666","15","13.333333333"
"0100252","151309","1008","1","3","33.333333333","1","100"
"0100253","150612","3000","1","1","100","79","1.265822784"
"0100267","150100","2020","13","13","100","25","52"
"0100272","152204","4009","1","1","100","1","100"
"0110001","151601","2012","7","14","50","8","87.5"
"0110001","151601","2013","2","14","14.285714285","10","20"
"0110001","151601","2016","5","14","35.714285714","7","71.428571428"
"0110033","151503","1000","133","1560","8.525641025","452","29.424778761"
"0110033","151503","1001","2","1560","0.128205128","267","0.74906367"
"0110033","151503","2000","185","1560","11.858974358","186","99.462365591"
"0110033","151503","2001","154","1560","9.871794871","157","98.089171974"
"0110033","151503","2002","234","1560","15","234","100"
"0110033","151503","2003","79","1560","5.064102564","138","57.246376811"
"0110033","151503","2004","72","1560","4.615384615","72","100"
"0110033","151503","3018","1","1560","0.064102564","32","3.125"
"0110033","151504","1004","3","1560","0.192307692","45","6.666666666"
"0110033","151504","1005","77","1560","4.935897435","77","100"
"0110033","151504","1006","17","1560","1.089743589","33","51.515151515"
"0110033","151504","1007","123","1560","7.884615384","186","66.129032258"
"0110033","151504","1008","64","1560","4.102564102","64","100"
"0110033","151504","1009","30","1560","1.923076923","30","100"
"0110033","151504","1010","41","1560","2.628205128","41","100"
"0110033","151504","1011","45","1560","2.884615384","45","100"
"0110033","151504","1013","1","1560","0.064102564","19","5.263157894"
"0110033","151504","1014","20","1560","1.282051282","33","60.606060606"
"0110033","151504","1015","35","1560","2.243589743","35","100"
"0110033","151504","3007","35","1560","2.243589743","100","35"
"0110033","151504","3010","49","1560","3.141025641","69","71.014492753"
"0110033","151504","3011","37","1560","2.371794871","37","100"
"0110033","151504","3012","103","1560","6.602564102","103","100"
"0110033","151504","3013","19","1560","1.217948717","19","100"
"0110033","151506","3000","1","1560","0.064102564","136","0.735294117"
"0110035","152401","3003","5","5","100","10","50"
"0110043","152204","3007","2","2174","0.09199632","35","5.714285714"
"0110043","152501","2000","60","2174","2.759889604","60","100"
"0110043","152501","2001","403","2174","18.537258509","404","99.752475247"
"0110043","152501","2003","1","2174","0.04599816","5","20"
"0110043","152501","2004","44","2174","2.023919043","44","100"
"0110043","152501","2005","50","2174","2.299908003","321","15.576323987"
"0110043","152501","2006","45","2174","2.069917203","45","100"
"0110043","152501","2007","37","2174","1.701931922","37","100"
"0110043","152501","3000","191","2174","8.785648574","196","97.448979591"
"0110043","152501","3001","41","2174","1.885924563","41","100"
"0110043","152501","3002","6","2174","0.27598896","29","20.689655172"
"0110043","152501","3003","34","2174","1.563937442","47","72.340425531"
"0110043","152501","3005","35","2174","1.609935602","35","100"
"0110043","152501","3006","223","2174","10.257589696","223","100"
"0110043","152501","3007","41","2174","1.885924563","41","100"
"0110043","152501","3008","6","2174","0.27598896","9","66.666666666"
"0110043","152501","3009","41","2174","1.885924563","41","100"
"0110043","152502","2000","4","2174","0.18399264","94","4.255319148"
"0110043","152502","2001","72","2174","3.311867525","72","100"
"0110043","152502","2002","5","2174","0.2299908","152","3.289473684"
"0110043","152502","2003","80","2174","3.679852805","111","72.072072072"
"0110043","152502","2004","5","2174","0.2299908","17","29.411764705"
"0110043","152502","2005","42","2174","1.931922723","42","100"
"0110043","152502","2008","8","2174","0.36798528","20","40"
"0110043","152502","2009","15","2174","0.689972401","16","93.75"
"0110043","152502","2010","13","2174","0.59797608","20","65"
"0110043","152502","2012","1","2174","0.04599816","4","25"
"0110043","152502","2015","19","2174","0.873965041","21","90.476190476"
"0110043","152502","2016","2","2174","0.09199632","4","50"
"0110043","152502","2018","32","2174","1.471941122","32","100"
"0110043","152502","2019","6","2174","0.27598896","29","20.689655172"
"0110043","152502","3000","223","2174","10.257589696","223","100"
"0110043","152502","3001","48","2174","2.207911683","48","100"
"0110043","152502","3002","38","2174","1.747930082","38","100"
"0110043","152502","3003","66","2174","3.035878564","66","100"
"0110043","152502","3004","26","2174","1.195952161","26","100"
"0110043","152502","3005","48","2174","2.207911683","48","100"
"0110043","152502","3006","26","2174","1.195952161","27","96.296296296"
"0110043","152502","3007","52","2174","2.391904323","52","100"
"0110043","152502","3008","68","2174","3.127874885","68","100"
"0110043","152502","3009","11","2174","0.50597976","11","100"
"0110043","152601","5001","4","2174","0.18399264","34","11.764705882"
"0110050","151601","1000","245","838","29.236276849","271","90.405904059"
"0110050","151601","1001","79","838","9.427207637","79","100"
"0110050","151601","1002","16","838","1.909307875","16","100"
"0110050","151601","1003","24","838","2.863961813","24","100"
"0110050","151601","1004","36","838","4.29594272","36","100"
"0110050","151601","1005","89","838","10.620525059","89","100"
"0110050","151601","1006","75","838","8.949880668","75","100"
"0110050","151601","1007","42","838","5.011933174","42","100"
"0110050","151602","3001","86","838","10.262529832","141","60.992907801"
"0110050","151602","3002","9","838","1.07398568","9","100"
"0110050","151602","3003","8","838","0.954653937","8","100"
"0110050","151602","3008","75","838","8.949880668","180","41.666666666"
"0110050","151602","3010","13","838","1.551312649","13","100"
"0110050","151602","3012","13","838","1.551312649","13","100"
"0110050","151602","3013","19","838","2.267303102","19","100"
"0110050","151602","3014","9","838","1.07398568","9","100"
"0110052","151601","2010","279","1574","17.725540025","312","89.423076923"
"0110052","151601","2011","18","1574","1.143583227","18","100"
"0110052","151601","2024","64","1574","4.066073697","64","100"
"0110052","151601","2025","19","1574","1.207115628","19","100"
"0110052","151601","2026","29","1574","1.842439644","29","100"
"0110052","151601","2027","14","1574","0.889453621","14","100"
"0110052","151601","3005","344","1574","21.855146124","344","100"
"0110052","151601","3006","32","1574","2.033036848","32","100"
"0110052","151601","3007","62","1574","3.939008894","62","100"
"0110052","151601","3008","28","1574","1.778907242","28","100"
"0110052","151601","3009","15","1574","0.952986022","15","100"
"0110052","151601","3010","27","1574","1.715374841","27","100"
"0110052","151602","3008","105","1574","6.67090216","180","58.333333333"
"0110052","151602","3009","31","1574","1.969504447","31","100"
"0110052","151602","3011","27","1574","1.715374841","27","100"
"0110052","151602","3015","3","1574","0.190597204","6","50"
"0110052","151602","3021","393","1574","24.968233799","401","98.004987531"
"0110052","151602","3022","16","1574","1.016518424","16","100"
"0110052","151602","3023","1","1574","0.063532401","9","11.111111111"
"0110052","151602","3024","24","1574","1.524777636","24","100"
"0110052","151602","3025","24","1574","1.524777636","24","100"
"0110052","151602","3026","17","1574","1.080050825","17","100"
"0110052","151602","3027","1","1574","0.063532401","7","14.285714285"
"0110052","151602","3031","1","1574","0.063532401","2","50"
"0110063","152204","1004","123","782","15.728900255","159","77.358490566"
"0110063","152204","1005","27","782","3.452685421","27","100"
"0110063","152204","1006","102","782","13.04347826","102","100"
"0110063","152204","1007","8","782","1.023017902","8","100"
"0110063","152204","1008","13","782","1.662404092","13","100"
"0110063","152204","1009","8","782","1.023017902","8","100"
"0110063","152204","1010","160","782","20.460358056","160","100"
"0110063","152204","1011","62","782","7.928388746","62","100"
"0110063","152204","1012","14","782","1.790281329","14","100"
"0110063","152204","1015","49","782","6.265984654","50","98"
"0110063","152204","1016","53","782","6.777493606","53","100"
"0110063","152204","3001","56","782","7.161125319","221","25.339366515"
"0110063","152204","3002","19","782","2.429667519","35","54.285714285"
"0110063","152204","3007","11","782","1.406649616","35","31.428571428"
"0110063","152204","4001","77","782","9.846547314","383","20.104438642"
"0110066","152204","3006","2","5","40","56","3.571428571"
"0110066","152204","3007","3","5","60","35","8.571428571"
"0110072","152501","2005","271","271","100","321","84.423676012"
"0110078","151701","1007","95","263","36.121673003","95","100"
"0110078","151701","1009","41","263","15.589353612","108","37.962962962"
"0110078","151701","1011","86","263","32.699619771","88","97.727272727"
"0110078","151701","1013","41","263","15.589353612","41","100"
"0110082","152502","2006","2","2","100","116","1.724137931"
"0110083","152501","2003","2","6","33.333333333","5","40"
"0110083","152501","3003","2","6","33.333333333","47","4.255319148"
"0110083","152501","3004","2","6","33.333333333","8","25"
"0200033","150702","3005","12","41","29.268292682","12","100"
"0200033","150702","3007","8","41","19.512195121","8","100"
"0200033","150702","3008","9","41","21.951219512","9","100"
"0200033","150800","4017","5","41","12.195121951","7","71.428571428"
"0200033","150800","4018","7","41","17.073170731","8","87.5"
"0200034","151205","1003","1","96","1.041666666","6","16.666666666"
"0200034","151205","1004","25","96","26.041666666","25","100"
"0200034","151205","1007","1","96","1.041666666","2","50"
"0200034","151205","2000","28","96","29.166666666","28","100"
"0200034","151205","2001","41","96","42.708333333","42","97.619047619"
"0200042","153501","4008","13","21","61.904761904","42","30.952380952"
"0200042","153501","4016","8","21","38.095238095","9","88.888888888"
"0200054","150612","3004","9","142","6.338028169","16","56.25"
"0200054","150612","3011","34","142","23.943661971","34","100"
"0200054","150612","3013","34","142","23.943661971","34","100"
"0200054","150612","3014","35","142","24.647887323","35","100"
"0200054","150612","3017","5","142","3.52112676","11","45.454545454"
"0200054","150612","3020","8","142","5.633802816","8","100"
"0200054","150612","3021","12","142","8.450704225","12","100"
"0200054","150612","3022","3","142","2.112676056","3","100"
"0200054","150612","3024","2","142","1.408450704","10","20"
"0200055","151206","2002","1","96","1.041666666","151","0.662251655"
"0200055","151206","2008","28","96","29.166666666","35","80"
"0200055","151206","2009","10","96","10.416666666","10","100"
"0200055","151206","2010","1","96","1.041666666","75","1.333333333"
"0200055","151206","2011","27","96","28.125","29","93.103448275"
"0200055","151206","2012","8","96","8.333333333","15","53.333333333"
"0200055","151206","2013","12","96","12.5","12","100"
"0200055","151206","2014","9","96","9.375","9","100"
"0200081","153501","3004","11","11","100","18","61.111111111"
"0200087","151100","1001","4","4","100","4","100"
"0200101","151206","2016","2","61","3.278688524","6","33.333333333"
"0200101","153501","3006","6","61","9.836065573","6","100"
"0200101","153501","3011","52","61","85.245901639","52","100"
"0200101","153501","3012","1","61","1.639344262","1","100"
"0200109","150612","3028","9","9","100","11","81.818181818"
"0200117","150611","2011","12","12","100","25","48"
"0200129","153502","4003","17","17","100","21","80.952380952"
"0200130","150612","3017","5","7","71.428571428","11","45.454545454"
"0200130","151309","1019","2","7","28.571428571","10","20"
"0200134","153502","4001","4","8","50","4","100"
"0200134","153502","4015","4","8","50","83","4.819277108"
"0200135","153502","4002","19","22","86.363636363","26","73.076923076"
"0200135","153502","4021","3","22","13.636363636","6","50"
"0200139","151100","1031","3","42","7.142857142","3","100"
"0200139","151100","1037","1","42","2.38095238","1","100"
"0200139","151100","1039","1","42","2.38095238","1","100"
"0200139","151100","1048","24","42","57.142857142","24","100"
"0200139","151100","1051","12","42","28.571428571","12","100"
"0200139","151100","1052","1","42","2.38095238","1","100"
"0250003","151000","3001","2","82","2.43902439","15","13.333333333"
"0250003","151000","3002","10","82","12.195121951","11","90.909090909"
"0250003","151000","3003","56","82","68.292682926","56","100"
"0250003","151000","3004","13","82","15.853658536","20","65"
"0250003","151000","3005","1","82","1.219512195","96","1.041666666"
"0250004","150901","5004","3","3","100","6","50"
"0250005","150902","1005","158","159","99.371069182","159","99.371069182"
"0250005","150902","1007","1","159","0.628930817","54","1.851851851"
"0250006","150902","1011","209","213","98.122065727","221","94.570135746"
"0250006","150902","1012","1","213","0.469483568","14","7.142857142"
"0250006","150902","2001","1","213","0.469483568","45","2.222222222"
"0250006","151000","3000","1","213","0.469483568","30","3.333333333"
"0250006","151000","3001","1","213","0.469483568","15","6.666666666"
"0250009","150701","3038","1","1029","0.097181729","34","2.94117647"
"0250009","150800","1000","74","1029","7.191448007","75","98.666666666"
"0250009","150800","1001","46","1029","4.470359572","47","97.872340425"
"0250009","150800","1007","19","1029","1.846452866","19","100"
"0250009","150800","1008","27","1029","2.623906705","27","100"
"0250009","150800","1009","22","1029","2.137998056","22","100"
"0250009","150800","1010","24","1029","2.332361516","24","100"
"0250009","150800","1011","38","1029","3.692905733","38","100"
"0250009","150800","2000","73","1029","7.094266277","73","100"
"0250009","150800","2001","48","1029","4.664723032","48","100"
"0250009","150800","2004","57","1029","5.5393586","58","98.275862068"
"0250009","150800","2005","73","1029","7.094266277","73","100"
"0250009","150800","2006","182","1029","17.687074829","184","98.913043478"
"0250009","150800","2007","60","1029","5.83090379","60","100"
"0250009","150800","2008","106","1029","10.301263362","117","90.598290598"
"0250009","150800","3000","5","1029","0.485908649","5","100"
"0250009","150800","3002","17","1029","1.652089407","17","100"
"0250009","150800","3003","2","1029","0.194363459","2","100"
"0250009","150800","3004","68","1029","6.608357628","68","100"
"0250009","150800","3013","52","1029","5.053449951","52","100"
"0250009","150800","3014","35","1029","3.401360544","35","100"
"0250011","150701","2001","16","914","1.750547045","132","12.121212121"
"0250011","150701","2003","21","914","2.297592997","21","100"
"0250011","150701","2004","24","914","2.625820568","24","100"
"0250011","150701","2006","32","914","3.501094091","32","100"
"0250011","150701","2009","15","914","1.641137855","17","88.235294117"
"0250011","150701","2010","10","914","1.094091903","10","100"
"0250011","150701","2012","40","914","4.376367614","40","100"
"0250011","150701","2013","37","914","4.048140043","37","100"
"0250011","150701","2014","28","914","3.06345733","28","100"
"0250011","150701","2015","37","914","4.048140043","61","60.655737704"
"0250011","150701","2016","27","914","2.95404814","58","46.551724137"
"0250011","150701","3026","99","914","10.831509846","99","100"
"0250011","150701","3027","4","914","0.437636761","4","100"
"0250011","150701","3028","72","914","7.877461706","72","100"
"0250011","150701","3030","6","914","0.656455142","6","100"
"0250011","150701","3031","21","914","2.297592997","21","100"
"0250011","150701","3033","24","914","2.625820568","24","100"
"0250011","150701","3034","32","914","3.501094091","32","100"
"0250011","150701","3035","92","914","10.065645514","92","100"
"0250011","150701","3039","45","914","4.923413566","55","81.818181818"
"0250011","150701","3040","62","914","6.783369803","62","100"
"0250011","150701","4000","73","914","7.986870897","73","100"
"0250011","150701","4001","1","914","0.10940919","33","3.03030303"
"0250011","150702","4001","1","914","0.10940919","74","1.351351351"
"0250011","150702","4002","93","914","10.175054704","105","88.571428571"
"0250011","150702","4004","1","914","0.10940919","49","2.040816326"
"0250011","150800","2004","1","914","0.10940919","58","1.724137931"
"0250012","150609","2000","32","44","72.727272727","183","17.486338797"
"0250012","150609","2005","12","44","27.272727272","31","38.709677419"
"0250014","151000","1019","1","3","33.333333333","1","100"
"0250014","151000","1027","2","3","66.666666666","2","100"
"0250016","150701","2017","3","1625","0.184615384","85","3.529411764"
"0250016","150701","3039","10","1625","0.615384615","55","18.181818181"
"0250016","150701","3041","55","1625","3.384615384","55","100"
"0250016","150701","4001","32","1625","1.969230769","33","96.969696969"
"0250016","150701","4002","25","1625","1.538461538","25","100"
"0250016","150701","4003","179","1625","11.015384615","179","100"
"0250016","150701","4004","52","1625","3.2","52","100"
"0250016","150701","4005","112","1625","6.892307692","112","100"
"0250016","150701","4006","10","1625","0.615384615","11","90.909090909"
"0250016","150701","4007","45","1625","2.769230769","46","97.826086956"
"0250016","150702","1014","2","1625","0.123076923","257","0.778210116"
"0250016","150702","2003","6","1625","0.369230769","238","2.521008403"
"0250016","150702","2005","2","1625","0.123076923","53","3.773584905"
"0250016","150702","3000","339","1625","20.861538461","342","99.122807017"
"0250016","150702","3001","199","1625","12.246153846","248","80.241935483"
"0250016","150702","3004","1","1625","0.061538461","30","3.333333333"
"0250016","150702","4000","130","1625","8","151","86.092715231"
"0250016","150702","4001","73","1625","4.492307692","74","98.648648648"
"0250016","150702","4002","12","1625","0.738461538","105","11.428571428"
"0250016","150702","4003","40","1625","2.461538461","40","100"
"0250016","150702","4004","48","1625","2.953846153","49","97.959183673"
"0250016","150702","4005","52","1625","3.2","60","86.666666666"
"0250016","150702","4006","196","1625","12.061538461","314","62.420382165"
"0250016","150800","4023","2","1625","0.123076923","77","2.597402597"
"0250018","150800","4014","104","142","73.239436619","104","100"
"0250018","150800","4016","38","142","26.76056338","38","100"
"0250019","150701","2001","116","1789","6.484069312","132","87.878787878"
"0250019","150701","2002","16","1789","0.894354387","16","100"
"0250019","150701","2007","146","1789","8.160983789","146","100"
"0250019","150701","2008","198","1789","11.06763555","198","100"
"0250019","150701","2009","2","1789","0.111794298","17","11.764705882"
"0250019","150701","2015","24","1789","1.341531581","61","39.344262295"
"0250019","150701","2016","31","1789","1.732811626","58","53.448275862"
"0250019","150701","2017","82","1789","4.583566238","85","96.470588235"
"0250019","150701","2018","25","1789","1.397428731","25","100"
"0250019","150701","2019","33","1789","1.844605925","33","100"
"0250019","150701","2020","116","1789","6.484069312","193","60.103626943"
"0250019","150701","2021","49","1789","2.738960313","49","100"
"0250019","150702","1005","194","1789","10.844046953","205","94.634146341"
"0250019","150702","1006","115","1789","6.428172163","302","38.079470198"
"0250019","150702","1008","46","1789","2.571268865","46","100"
"0250019","150702","1009","23","1789","1.285634432","23","100"
"0250019","150702","1010","151","1789","8.440469536","151","100"
"0250019","150702","1011","19","1789","1.062045835","19","100"
"0250019","150702","1012","43","1789","2.403577417","43","100"
"0250019","150702","1013","24","1789","1.341531581","24","100"
"0250019","150702","1014","157","1789","8.775852431","257","61.089494163"
"0250019","150702","1015","45","1789","2.515371716","45","100"
"0250019","150702","1016","9","1789","0.503074343","9","100"
"0250019","150702","1017","21","1789","1.173840134","21","100"
"0250019","150702","1018","75","1789","4.192286193","75","100"
"0250019","150702","4000","21","1789","1.173840134","151","13.907284768"
"0250019","150702","4005","8","1789","0.447177193","60","13.333333333"
"0250020","150702","1006","172","1633","10.532761788","302","56.953642384"
"0250020","150702","1014","98","1633","6.001224739","257","38.132295719"
"0250020","150702","2000","261","1633","15.982853643","263","99.239543726"
"0250020","150702","2001","2","1633","0.122473974","89","2.247191011"
"0250020","150702","2002","63","1633","3.857930189","67","94.029850746"
"0250020","150702","2003","232","1633","14.206981016","238","97.478991596"
"0250020","150702","2004","38","1633","2.327005511","38","100"
"0250020","150702","2005","51","1633","3.123086344","53","96.226415094"
"0250020","150702","3000","3","1633","0.183710961","342","0.877192982"
"0250020","150702","3001","46","1633","2.816901408","248","18.548387096"
"0250020","150702","3002","375","1633","22.963870177","375","100"
"0250020","150702","3003","30","1633","1.837109614","52","57.692307692"
"0250020","150702","3004","7","1633","0.428658909","30","23.333333333"
"0250020","150702","3009","44","1633","2.694427434","44","100"
"0250020","150702","3010","93","1633","5.695039804","93","100"
"0250020","150702","4006","118","1633","7.225964482","314","37.579617834"
"0250022","150701","1005","45","707","6.364922206","45","100"
"0250022","150701","1006","43","707","6.082036775","43","100"
"0250022","150701","1007","65","707","9.19377652","65","100"
"0250022","150701","1015","30","707","4.243281471","30","100"
"0250022","150901","1001","8","707","1.131541725","171","4.678362573"
"0250022","150901","1022","18","707","2.545968882","18","100"
"0250022","150901","1023","79","707","11.17397454","79","100"
"0250022","150901","1024","3","707","0.424328147","3","100"
"0250022","150901","2001","31","707","4.384724186","31","100"
"0250022","150901","2002","48","707","6.789250353","48","100"
"0250022","150901","2003","94","707","13.295615275","96","97.916666666"
"0250022","150901","2004","7","707","0.990099009","7","100"
"0250022","150901","2006","16","707","2.263083451","16","100"
"0250022","150901","2008","74","707","10.466760961","74","100"
"0250022","150901","2009","68","707","9.618104667","68","100"
"0250022","150901","2010","10","707","1.414427157","10","100"
"0250022","150901","2011","14","707","1.980198019","14","100"
"0250022","150901","2012","14","707","1.980198019","14","100"
"0250022","150901","2013","34","707","4.809052333","34","100"
"0250022","150901","3005","6","707","0.848656294","161","3.726708074"
"0250025","150701","1013","5","10","50","5","100"
"0250025","150701","1014","5","10","50","5","100"
"0250034","150602","1000","13","122","10.655737704","23","56.52173913"
"0250034","150602","1004","14","122","11.475409836","14","100"
"0250034","150602","1005","35","122","28.68852459","45","77.777777777"
"0250034","150602","1006","34","122","27.868852459","34","100"
"0250034","150602","1007","26","122","21.311475409","26","100"
"0250035","150603","1020","297","814","36.486486486","298","99.66442953"
"0250035","150603","2000","133","814","16.339066339","133","100"
"0250035","150603","2001","40","814","4.914004914","40","100"
"0250035","150603","2002","35","814","4.299754299","35","100"
"0250035","150603","2003","81","814","9.95085995","81","100"
"0250035","150603","2006","1","814","0.122850122","46","2.173913043"
"0250035","150603","2008","41","814","5.036855036","41","100"
"0250035","150603","2009","41","814","5.036855036","41","100"
"0250035","150603","5003","141","814","17.321867321","189","74.603174603"
"0250035","150603","5005","4","814","0.491400491","4","100"
"0250038","150602","2000","32","626","5.111821086","32","100"
"0250038","150602","2001","32","626","5.111821086","32","100"
"0250038","150602","2002","60","626","9.584664536","66","90.909090909"
"0250038","150602","2009","41","626","6.549520766","41","100"
"0250038","150602","2010","48","626","7.667731629","48","100"
"0250038","150602","2011","41","626","6.549520766","41","100"
"0250038","150603","2007","17","626","2.715654952","21","80.952380952"
"0250038","150603","3001","19","626","3.035143769","19","100"
"0250038","150603","3002","48","626","7.667731629","48","100"
"0250038","150603","3003","27","626","4.313099041","27","100"
"0250038","150603","3004","23","626","3.674121405","23","100"
"0250038","150603","3005","29","626","4.632587859","29","100"
"0250038","150603","3006","46","626","7.348242811","46","100"
"0250038","150603","3009","28","626","4.47284345","36","77.777777777"
"0250038","150603","3010","30","626","4.792332268","37","81.081081081"
"0250038","150603","3011","36","626","5.750798722","36","100"
"0250038","150603","3012","29","626","4.632587859","29","100"
"0250038","150603","3013","25","626","3.993610223","25","100"
"0250038","150603","6011","2","626","0.319488817","2","100"
"0250038","150603","6012","13","626","2.076677316","18","72.222222222"
"0250041","150603","4003","23","774","2.971576227","23","100"
"0250041","150603","4004","22","774","2.84237726","22","100"
"0250041","150603","4005","135","774","17.441860465","135","100"
"0250041","150603","4009","61","774","7.88113695","61","100"
"0250041","150603","4010","54","774","6.976744186","54","100"
"0250041","150603","4011","28","774","3.617571059","28","100"
"0250041","150603","4012","106","774","13.695090439","106","100"
"0250041","150603","4013","49","774","6.330749354","49","100"
"0250041","150603","4014","179","774","23.126614987","179","100"
"0250041","150603","4015","42","774","5.426356589","42","100"
"0250041","150603","4016","31","774","4.005167958","31","100"
"0250041","150603","4017","44","774","5.684754521","44","100"
"0250046","150602","3000","47","1579","2.976567447","176","26.704545454"
"0250046","150611","1004","23","1579","1.456618112","38","60.526315789"
"0250046","150612","1001","73","1579","4.623179227","131","55.725190839"
"0250046","150612","1002","49","1579","3.103229892","49","100"
"0250046","150612","1003","26","1579","1.646611779","26","100"
"0250046","150612","1004","69","1579","4.369854338","69","100"
"0250046","150612","1005","57","1579","3.60987967","57","100"
"0250046","150612","1006","65","1579","4.116529449","65","100"
"0250046","150612","1007","28","1579","1.773274224","84","33.333333333"
"0250046","150612","1008","30","1579","1.899936668","30","100"
"0250046","150612","1009","185","1579","11.716276124","185","100"
"0250046","150612","1010","54","1579","3.419886003","54","100"
"0250046","150612","1014","16","1579","1.013299556","151","10.59602649"
"0250046","150612","1015","70","1579","4.43318556","71","98.591549295"
"0250046","150612","1016","75","1579","4.749841671","75","100"
"0250046","150612","1017","28","1579","1.773274224","28","100"
"0250046","150612","1018","31","1579","1.963267891","31","100"
"0250046","150612","1019","76","1579","4.813172894","76","100"
"0250046","150612","1020","113","1579","7.156428119","113","100"
"0250046","150612","1021","152","1579","9.626345788","152","100"
"0250046","150612","1022","29","1579","1.836605446","29","100"
"0250046","150612","1023","99","1579","6.269791006","99","100"
"0250046","150612","1024","35","1579","2.21659278","49","71.428571428"
"0250046","150612","1025","31","1579","1.963267891","31","100"
"0250046","150612","1026","47","1579","2.976567447","47","100"
"0250046","150612","1027","26","1579","1.646611779","40","65"
"0250046","150612","1028","45","1579","2.849905003","45","100"
"0250047","150601","1003","6","2094","0.286532951","59","10.169491525"
"0250047","150601","1004","45","2094","2.148997134","45","100"
"0250047","150601","1005","50","2094","2.387774594","50","100"
"0250047","150601","1006","51","2094","2.435530085","51","100"
"0250047","150601","1007","57","2094","2.722063037","57","100"
"0250047","150601","1008","62","2094","2.960840496","62","100"
"0250047","150601","1009","75","2094","3.581661891","75","100"
"0250047","150601","1010","65","2094","3.104106972","203","32.019704433"
"0250047","150601","2004","7","2094","0.334288443","76","9.210526315"
