state,county,precinct,year_min,year_max,elections_n,turnout_slope,turnout_r2,turnout_pval,turnout_trend,support_slope,support_r2,support_pval,support_trend
CA,Sonoma,720025,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720026,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720027,2024,2024,50,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720028,2024,2024,56,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720029,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,720030,2024,2024,64,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725001,2024,2024,46,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725002,2024,2024,55,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725003,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725004,2024,2024,59,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725005,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725006,2024,2024,69,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725007,2024,2024,65,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725008,2024,2024,57,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725009,2024,2024,51,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725010,2024,2024,48,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725011,2024,2024,64,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725012,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725013,2024,2024,67,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725014,2024,2024,49,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725015,2024,2024,52,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
CA,Sonoma,725016,2024,2024,54,0.0,0.0,0.0,stable,0.0,0.0,0.0,stable
